DB ID,Model No.,Frequency_Hz,Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link,Head Rated/M,Q Rated/LPM,id
663,DS-50,60,3,5,3.7kW,100,"4""",15.0,1180,21,69,Dirty Water,https://www.hungpump.com/dsk,15.0,560.0,5aea8b39-b878-4d5e-921c-852839a914d3
664,DS-50,60,3,5,3.7kW,80,"3""",35.0,"1,400",26,85,Dirty Water,https://www.hungpump.com/dsk,15.0,1020.0,02f46bbb-d6b8-45b1-8a59-85d6a5ed527b
665,DS-50,60,3,5,3.7kW,80,"3""",35.0,"1,400",26,85,Dirty Water,https://www.hungpump.com/dsk,15.0,1020.0,62887f8e-5d60-40e2-8598-c793d2c317fd
669,DS-75,60,3,7.5,5.5kW,100,"4""",20.0,1320,24,79,Dirty Water,https://www.hungpump.com/dsk,15.0,1100.0,a688fe62-1719-41cd-a177-53e678da3dd1
670,DS-75,60,3,7.5,5.5kW,100,"4""",20.0,1320,24,79,Dirty Water,https://www.hungpump.com/dsk,15.0,1100.0,2d7c065d-79d7-461c-a961-2e7996271c9b
671,DSK-05,60,1,1/2,400W,50,"2""",15.0,300,10,33,Dirty Water,https://www.hungpump.com/dsk,6.0,220.0,5f8ca2f8-2262-4607-996e-63eadfe6d2e7
672,DSK-05,60,1,1/2,400W,50,"2""",15.0,300,10,33,Dirty Water,https://www.hungpump.com/dsk,6.0,220.0,b29e9857-a82a-4c9d-81b8-5ae8e23da352
673,DSK-05,60,3,1/2,400W,50,"2""",15.0,300,10,33,Dirty Water,https://www.hungpump.com/dsk,6.0,220.0,462cb2eb-1f6b-4185-8178-ae1756985252
674,DSK-05,60,1,1/2,400W,50,"2""",15.0,300,10,33,Dirty Water,https://www.hungpump.com/dsk,6.0,220.0,fa771a3c-f30b-40da-bf05-cf9f86e029ca
675,DSK-05,60,1,1/2,400W,50,"2""",15.0,300,10,33,Dirty Water,https://www.hungpump.com/dsk,6.0,220.0,cca75578-019e-4c15-a1aa-eac231522414
677,DSK-10,60,1,1,750W,50,"2""",15.0,300,10,33,Dirty Water,https://www.hungpump.com/dsk,6.0,220.0,7ed51388-4a69-4706-b1ac-b0d0566118f2
678,DSK-10,60,3,1,750W,80,"3""",15.0,300,10,33,Dirty Water,https://www.hungpump.com/dsk,6.0,220.0,2777dd29-93c6-42a6-903f-51d689218be0
679,DSK-10,60,1,1,750W,50,"2""",15.0,420,14,46,Dirty Water,https://www.hungpump.com/dsk,9.0,220.0,79219be1-c2d1-4000-a9d7-67fb7324f966
680,DSK-10,60,1,1,750W,50,"2""",15.0,420,14,46,Dirty Water,https://www.hungpump.com/dsk,9.0,220.0,390645c6-5d65-4f23-bd47-5c6ad94e8f36
681,DSK-10,60,3,1,750W,50,"2""",15.0,420,14,46,Dirty Water,https://www.hungpump.com/dsk,9.0,220.0,4eebab98-9de1-414a-9eb1-3e427b4ea893
682,DSK-10,60,3,1,750W,50,"2""",15.0,420,14,46,Dirty Water,https://www.hungpump.com/dsk,9.0,220.0,eaac3874-dd29-4a2b-84e5-6cb28eb01a83
683,DSK-100,60,3,10,7.5kW,100,"4""",27.0,1530,28,92,Dirty Water,https://www.hungpump.com/dsk,15.0,1300.0,48516146-b37d-4d7e-81cb-929d21f3af43
684,DSK-100,60,3,10,7.5kW,100,"4""",27.0,1530,28,92,Dirty Water,https://www.hungpump.com/dsk,15.0,1300.0,572c1eb1-314c-43c3-8d50-eb88dd06c4ea
686,DSK-20,60,1,2,1.5kW,80,"3""",15.0,300,10,33,Dirty Water,https://www.hungpump.com/dsk,6.0,220.0,6e127c3a-d2ee-45ea-bf4a-84673b50258f
687,DSK-20,60,1,2,1.5kW,80,"3""",15.0,660,18,59,Dirty Water,https://www.hungpump.com/dsk,9.0,480.0,fd408253-ea1b-4fe0-bede-b184647d825c
688,DSK-20,60,3,2,1.5kW,80,"3""",15.0,660,18,59,Dirty Water,https://www.hungpump.com/dsk,9.0,480.0,1bcab4dd-154a-4075-8129-5530a568b020
